Anno,Temp Media (oC)_mean,Temp Media (oC)_var,Temp Max (oC)_mean,Temp Max (oC)_var,Temp Minima (oC)_mean,Temp Minima (oC)_var,Humedad Media (%)_mean,Humedad Media (%)_var,Humedad Max (%)_mean,Humedad Max (%)_var,Humedad Min (%)_mean,Humedad Min (%)_var,Velviento (m/s)_mean,Velviento (m/s)_var,DirViento (o)_mean,DirViento (o)_var,VelVientoMax (m/s)_mean,VelVientoMax (m/s)_var,Precipitacion (mm)_mean,Precipitacion (mm)_var,Temp Media (oC)_mean_Semana_Pasada,Temp Media (oC)_var_Semana_Pasada,Temp Max (oC)_mean_Semana_Pasada,Temp Max (oC)_var_Semana_Pasada,Temp Minima (oC)_mean_Semana_Pasada,Temp Minima (oC)_var_Semana_Pasada,Humedad Media (%)_mean_Semana_Pasada,Humedad Media (%)_var_Semana_Pasada,Humedad Max (%)_mean_Semana_Pasada,Humedad Max (%)_var_Semana_Pasada,Humedad Min (%)_mean_Semana_Pasada,Humedad Min (%)_var_Semana_Pasada,Velviento (m/s)_mean_Semana_Pasada,Velviento (m/s)_var_Semana_Pasada,DirViento (o)_mean_Semana_Pasada,DirViento (o)_var_Semana_Pasada,VelVientoMax (m/s)_mean_Semana_Pasada,VelVientoMax (m/s)_var_Semana_Pasada,Precipitacion (mm)_mean_Semana_Pasada,Precipitacion (mm)_var_Semana_Pasada,superficie,numero_incendios,Sin_Semana,Cos_Semana,superficie_anterior,numero_anterior
2009,19.2071,1.2213,29.57,11.0036,10.8829,6.873,69.4186,28.6757,95.4286,16.4524,34.4814,168.2237,0.67,0.0138,235.09,16651.5134,3.7743,0.4006,0.0,0.0,17.6314,14.6676,25.2,41.4155,11.5429,4.3919,74.5486,73.8731,96.6286,6.3657,44.0,363.9671,0.7286,0.1381,235.1143,6577.2981,3.9057,1.748,3.9429,52.0362,11.0,2.0,0.12053668025532308,-0.992708874098054,0.0,0.0
2009,18.4557,2.7614,26.61,13.858,11.01,5.5413,68.45,28.2557,94.7,9.27,38.4814,178.121,0.7071,0.0123,275.1286,1566.4424,3.9529,0.441,0.5714,1.099,19.2071,1.2213,29.57,11.0036,10.8829,6.873,69.4186,28.6757,95.4286,16.4524,34.4814,168.2237,0.67,0.0138,235.09,16651.5134,3.7743,0.4006,0.0,0.0,1.0,1.0,-3.216245299353273e-16,-1.0,11.0,2.0
2009,20.5671,3.056,28.8914,3.2449,12.7457,4.1122,66.1371,21.8701,93.4143,22.5148,34.3814,22.0093,0.7329,0.0107,274.0857,525.1648,4.1943,0.1931,0.5714,2.2857,18.4557,2.7614,26.61,13.858,11.01,5.5413,68.45,28.2557,94.7,9.27,38.4814,178.121,0.7071,0.0123,275.1286,1566.4424,3.9529,0.441,0.5714,1.099,6.57,3.0,-0.12053668025532283,-0.992708874098054,1.0,1.0
2009,17.8314,2.816,28.2386,7.6154,8.5014,4.5848,64.0829,5.7397,94.3857,20.0181,28.2629,45.4723,0.7671,0.0097,226.6386,19626.4824,4.1957,0.0581,0.0,0.0,20.5671,3.056,28.8914,3.2449,12.7457,4.1122,66.1371,21.8701,93.4143,22.5148,34.3814,22.0093,0.7329,0.0107,274.0857,525.1648,4.1943,0.1931,0.5714,2.2857,5.0,3.0,-0.23931566428755743,-0.9709418174260521,6.57,3.0
2009,17.8514,2.5051,27.3171,6.7917,8.4814,10.8506,61.41,7.5571,94.0143,25.3214,26.4114,11.9264,0.8143,0.027,256.2457,12509.0646,4.7457,1.5304,0.0,0.0,17.8314,2.816,28.2386,7.6154,8.5014,4.5848,64.0829,5.7397,94.3857,20.0181,28.2629,45.4723,0.7671,0.0097,226.6386,19626.4824,4.1957,0.0581,0.0,0.0,4.14,2.0,-0.3546048870425356,-0.9350162426854148,5.0,3.0
2009,17.9657,5.403,28.3671,18.9923,8.1,3.7443,67.93,69.6826,97.8143,2.9581,30.1643,137.7468,0.8257,0.0589,257.1286,1967.2924,4.4143,0.943,9.5429,585.9429,17.8514,2.5051,27.3171,6.7917,8.4814,10.8506,61.41,7.5571,94.0143,25.3214,26.4114,11.9264,0.8143,0.027,256.2457,12509.0646,4.7457,1.5304,0.0,0.0,10.5,2.0,-0.46472317204376806,-0.8854560256532101,4.14,2.0
2009,17.2443,0.8457,26.6114,5.6817,9.1643,3.0116,69.1171,33.7267,96.8857,3.7181,33.0729,116.7322,0.6557,0.0114,292.0,988.8333,3.7614,0.6347,1.2571,11.0629,17.9657,5.403,28.3671,18.9923,8.1,3.7443,67.93,69.6826,97.8143,2.9581,30.1643,137.7468,0.8257,0.0589,257.1286,1967.2924,4.4143,0.943,9.5429,585.9429,20.1,1.0,-0.5680647467311556,-0.8229838658936566,10.5,2.0
2009,18.2543,2.8721,25.68,8.7933,11.5586,7.0614,71.9343,13.8661,93.8143,13.2881,46.1986,101.093,0.6714,0.0147,280.09,13937.6604,4.1157,1.2445,0.0,0.0,17.2443,0.8457,26.6114,5.6817,9.1643,3.0116,69.1171,33.7267,96.8857,3.7181,33.0729,116.7322,0.6557,0.0114,292.0,988.8333,3.7614,0.6347,1.2571,11.0629,11.53,4.0,-0.663122658240795,-0.7485107481711013,20.1,1.0
2009,20.8943,4.6744,33.5529,6.2363,10.23,7.255,66.49,19.9134,97.6857,0.7348,24.3557,23.7917,0.5971,0.0032,146.02,22187.1871,4.2071,0.8284,0.0,0.0,18.2543,2.8721,25.68,8.7933,11.5586,7.0614,71.9343,13.8661,93.8143,13.2881,46.1986,101.093,0.6714,0.0147,280.09,13937.6604,4.1157,1.2445,0.0,0.0,57.6,12.0,-0.7485107481711011,-0.6631226582407952,11.53,4.0
2009,19.51,3.2507,31.2529,8.4476,9.94,5.3537,65.9414,42.3702,96.1,6.7833,25.5386,68.0896,0.62,0.0021,239.0214,18025.877,3.6143,0.1181,0.0,0.0,20.8943,4.6744,33.5529,6.2363,10.23,7.255,66.49,19.9134,97.6857,0.7348,24.3557,23.7917,0.5971,0.0032,146.02,22187.1871,4.2071,0.8284,0.0,0.0,236.55,17.0,-0.8229838658936564,-0.5680647467311559,57.6,12.0
